Source,Target,Weight,Type
0,1,0.187,Undirected
0,2,0.2137,Undirected
0,3,0.2266,Undirected
0,4,0.2026,Undirected
0,7,0.2872,Undirected
0,8,0.2004,Undirected
0,9,0.1828,Undirected
0,12,0.3299,Undirected
0,30,0.1928,Undirected
0,35,0.2907,Undirected
0,43,0.1528,Undirected
0,44,0.1523,Undirected
0,46,0.1536,Undirected
0,47,0.1711,Undirected
0,49,0.2022,Undirected
0,52,0.3298,Undirected
0,57,0.1597,Undirected
0,77,0.1946,Undirected
0,88,0.1755,Undirected
0,107,0.1536,Undirected
0,108,0.1862,Undirected
0,114,0.1555,Undirected
0,115,0.2561,Undirected
0,116,0.221,Undirected
0,117,0.1581,Undirected
0,124,0.1791,Undirected
0,125,0.2451,Undirected
0,127,0.154,Undirected
0,128,0.1803,Undirected
0,129,0.2355,Undirected
0,130,0.1609,Undirected
0,132,0.1705,Undirected
0,133,0.2355,Undirected
0,134,0.1822,Undirected
0,135,0.2362,Undirected
0,136,0.2197,Undirected
0,150,0.17,Undirected
0,160,0.2093,Undirected
0,168,0.2468,Undirected
0,169,0.1536,Undirected
0,170,0.1686,Undirected
0,172,0.2426,Undirected
0,173,0.2525,Undirected
0,174,0.2388,Undirected
0,175,0.2555,Undirected
0,176,0.2809,Undirected
0,177,0.2627,Undirected
0,178,0.3433,Undirected
0,179,0.2852,Undirected
0,180,0.1892,Undirected
0,182,0.2775,Undirected
0,183,0.2346,Undirected
0,184,0.1733,Undirected
0,185,0.2437,Undirected
0,186,0.1869,Undirected
0,187,0.2197,Undirected
0,189,0.2376,Undirected
0,190,0.1626,Undirected
0,191,0.2042,Undirected
0,192,0.2672,Undirected
0,193,0.2078,Undirected
0,194,0.1733,Undirected
0,195,0.2809,Undirected
0,196,0.2338,Undirected
0,197,0.2608,Undirected
0,198,0.2062,Undirected
0,199,0.15,Undirected
0,201,0.182,Undirected
0,203,0.1724,Undirected
0,294,0.159,Undirected
0,302,0.2122,Undirected
0,308,0.2172,Undirected
0,310,0.1857,Undirected
0,311,0.2163,Undirected
0,312,0.2077,Undirected
0,313,0.2179,Undirected
0,314,0.198,Undirected
0,325,0.1992,Undirected
0,326,0.2505,Undirected
0,330,0.1633,Undirected
0,347,0.1955,Undirected
0,372,0.2315,Undirected
0,399,0.191,Undirected
0,433,0.1808,Undirected
0,434,0.2386,Undirected
0,435,0.1808,Undirected
0,438,0.1572,Undirected
0,439,0.1635,Undirected
0,441,0.1663,Undirected
0,442,0.3511,Undirected
0,451,0.1643,Undirected
0,452,0.1557,Undirected
0,453,0.1716,Undirected
0,454,0.1889,Undirected
0,455,0.3218,Undirected
0,456,0.2656,Undirected
0,457,0.3538,Undirected
0,458,0.3004,Undirected
0,462,0.2084,Undirected
0,480,0.2499,Undirected
0,491,0.2171,Undirected
0,501,0.4647,Undirected
0,502,0.1529,Undirected
0,509,0.1832,Undirected
0,511,0.2327,Undirected
0,513,0.1614,Undirected
0,515,0.2064,Undirected
0,537,0.1695,Undirected
0,538,0.3738,Undirected
0,540,0.1744,Undirected
0,542,0.2328,Undirected
0,545,0.1639,Undirected
0,550,0.1816,Undirected
0,553,0.166,Undirected
0,558,0.2078,Undirected
0,583,0.4299,Undirected
0,584,0.1746,Undirected
0,585,0.366,Undirected
0,586,0.3482,Undirected
0,587,0.3174,Undirected
0,588,0.3342,Undirected
0,589,0.1607,Undirected
0,590,0.2792,Undirected
0,601,0.158,Undirected
0,612,0.1819,Undirected
0,615,0.1641,Undirected
0,647,0.2074,Undirected
0,661,0.1769,Undirected
0,665,0.2121,Undirected
0,666,0.3149,Undirected
0,699,0.1687,Undirected
0,702,0.1545,Undirected
0,716,0.1804,Undirected
0,717,0.244,Undirected
0,721,0.186,Undirected
0,731,0.2972,Undirected
0,732,0.2874,Undirected
0,747,0.2559,Undirected
0,758,0.171,Undirected
0,771,0.1553,Undirected
0,774,0.2293,Undirected
0,776,0.1552,Undirected
0,783,0.2309,Undirected
0,784,0.1764,Undirected
0,791,0.1766,Undirected
1,2,0.2058,Undirected
1,4,0.2991,Undirected
1,7,0.2463,Undirected
1,8,0.1586,Undirected
1,9,0.1551,Undirected
1,12,0.1921,Undirected
1,35,0.1844,Undirected
1,43,0.1598,Undirected
1,46,0.1524,Undirected
1,51,0.1806,Undirected
1,52,0.1947,Undirected
1,84,0.1517,Undirected
1,85,0.1686,Undirected
1,98,0.166,Undirected
1,99,0.2151,Undirected
1,107,0.1739,Undirected
1,108,0.2901,Undirected
1,109,0.1788,Undirected
1,112,0.1982,Undirected
1,114,0.2879,Undirected
1,115,0.2339,Undirected
1,116,0.3322,Undirected
1,124,0.8007,Undirected
1,125,0.6531,Undirected
1,126,0.452,Undirected
1,127,0.499,Undirected
1,128,0.4314,Undirected
1,129,0.6274,Undirected
1,130,0.5795,Undirected
1,131,0.3058,Undirected
1,132,0.4971,Undirected
1,133,0.6274,Undirected
1,134,0.5052,Undirected
1,135,0.3673,Undirected
1,136,0.5794,Undirected
1,150,0.2511,Undirected
1,155,0.2028,Undirected
1,156,0.1974,Undirected
1,157,0.2658,Undirected
1,158,0.2452,Undirected
1,168,0.2454,Undirected
1,169,0.1565,Undirected
1,170,0.3296,Undirected
1,172,0.2394,Undirected
1,173,0.7042,Undirected
1,174,0.1549,Undirected
1,176,0.1669,Undirected
1,178,0.1764,Undirected
1,179,0.2333,Undirected
1,182,0.18,Undirected
1,183,0.3918,Undirected
1,184,0.4681,Undirected
1,186,0.5638,Undirected
1,187,0.5094,Undirected
1,189,0.3255,Undirected
1,190,0.5201,Undirected
1,192,0.3713,Undirected
1,193,0.5973,Undirected
1,195,0.1669,Undirected
1,196,0.1734,Undirected
1,197,0.4174,Undirected
1,216,0.2109,Undirected
1,217,0.1875,Undirected
1,234,0.1644,Undirected
1,237,0.153,Undirected
1,302,0.1814,Undirected
1,304,0.2057,Undirected
1,308,0.1732,Undirected
1,312,0.1691,Undirected
1,317,0.1937,Undirected
1,326,0.1774,Undirected
1,337,0.2342,Undirected
1,347,0.1702,Undirected
1,356,0.2481,Undirected
1,372,0.4443,Undirected
1,379,0.211,Undirected
1,402,0.176,Undirected
1,403,0.2607,Undirected
1,426,0.2168,Undirected
1,429,0.1865,Undirected
1,430,0.2718,Undirected
1,434,0.1662,Undirected
1,442,0.3882,Undirected
1,444,0.1508,Undirected
1,449,0.1909,Undirected
1,452,0.4428,Undirected
1,455,0.2332,Undirected
1,456,0.1644,Undirected
1,457,0.2563,Undirected
1,458,0.18,Undirected
1,462,0.2842,Undirected
1,466,0.1832,Undirected
1,467,0.2948,Undirected
1,480,0.3198,Undirected
1,502,0.4052,Undirected
1,503,0.2219,Undirected
1,508,0.3039,Undirected
1,509,0.2429,Undirected
1,511,0.163,Undirected
1,515,0.1806,Undirected
1,531,0.1555,Undirected
1,534,0.1579,Undirected
1,538,0.1819,Undirected
1,540,0.3622,Undirected
1,541,0.1654,Undirected
1,542,0.4184,Undirected
1,543,0.2433,Undirected
1,545,0.4087,Undirected
1,581,0.1671,Undirected
1,583,0.292,Undirected
1,584,0.2401,Undirected
1,585,0.2486,Undirected
1,586,0.2365,Undirected
1,587,0.1752,Undirected
1,588,0.2203,Undirected
