Source,Target,Weight,Type
0,2,0.2483,Undirected
0,3,0.2512,Undirected
0,4,0.2456,Undirected
0,7,0.2879,Undirected
0,8,0.2041,Undirected
0,9,0.2045,Undirected
0,12,0.3592,Undirected
0,35,0.3265,Undirected
0,52,0.2714,Undirected
0,53,0.2555,Undirected
0,77,0.2371,Undirected
0,91,0.2355,Undirected
0,115,0.2949,Undirected
0,116,0.2652,Undirected
0,135,0.2338,Undirected
0,150,0.2193,Undirected
0,159,0.2519,Undirected
0,162,0.2292,Undirected
0,166,0.2578,Undirected
0,168,0.2381,Undirected
0,170,0.2181,Undirected
0,172,0.2852,Undirected
0,173,0.2041,Undirected
0,174,0.2599,Undirected
0,175,0.2454,Undirected
0,176,0.2525,Undirected
0,177,0.3059,Undirected
0,178,0.277,Undirected
0,179,0.2675,Undirected
0,182,0.3143,Undirected
0,185,0.3458,Undirected
0,194,0.2259,Undirected
0,195,0.2525,Undirected
0,196,0.2393,Undirected
0,278,0.2426,Undirected
0,302,0.2176,Undirected
0,308,0.2369,Undirected
0,311,0.2245,Undirected
0,312,0.2557,Undirected
0,313,0.2034,Undirected
0,314,0.2023,Undirected
0,325,0.3032,Undirected
0,326,0.2419,Undirected
0,335,0.2064,Undirected
0,352,0.2113,Undirected
0,372,0.238,Undirected
0,434,0.2931,Undirected
0,442,0.3593,Undirected
0,452,0.2393,Undirected
0,455,0.2793,Undirected
0,456,0.2454,Undirected
0,457,0.3099,Undirected
0,458,0.2753,Undirected
0,465,0.2368,Undirected
0,480,0.2083,Undirected
0,491,0.2087,Undirected
0,501,0.3218,Undirected
0,511,0.2423,Undirected
0,514,0.22,Undirected
0,519,0.209,Undirected
0,538,0.3066,Undirected
0,542,0.2051,Undirected
0,583,0.4109,Undirected
0,585,0.304,Undirected
0,586,0.2854,Undirected
0,587,0.336,Undirected
0,588,0.2921,Undirected
0,590,0.2676,Undirected
0,605,0.238,Undirected
0,615,0.2046,Undirected
0,627,0.2153,Undirected
0,646,0.2002,Undirected
0,647,0.2448,Undirected
0,665,0.2862,Undirected
0,666,0.3186,Undirected
0,715,0.2081,Undirected
0,716,0.2322,Undirected
0,717,0.2757,Undirected
0,731,0.2802,Undirected
0,732,0.2873,Undirected
0,733,0.2246,Undirected
0,747,0.2444,Undirected
0,783,0.2383,Undirected
1,4,0.213,Undirected
1,7,0.2294,Undirected
1,12,0.2177,Undirected
1,99,0.3935,Undirected
1,107,0.3288,Undirected
1,108,0.589,Undirected
1,112,0.3315,Undirected
1,114,0.4339,Undirected
1,115,0.2144,Undirected
1,116,0.2808,Undirected
1,124,0.7951,Undirected
1,125,0.665,Undirected
1,126,0.4781,Undirected
1,127,0.5242,Undirected
1,128,0.403,Undirected
1,129,0.6892,Undirected
1,130,0.7225,Undirected
1,131,0.3039,Undirected
1,132,0.5897,Undirected
1,133,0.6892,Undirected
1,134,0.5778,Undirected
1,135,0.2696,Undirected
1,136,0.6805,Undirected
1,150,0.3219,Undirected
1,170,0.2864,Undirected
1,173,0.8108,Undirected
1,183,0.5607,Undirected
1,184,0.5293,Undirected
1,185,0.2265,Undirected
1,186,0.507,Undirected
1,187,0.6437,Undirected
1,189,0.4797,Undirected
1,190,0.6244,Undirected
1,192,0.4909,Undirected
1,193,0.6457,Undirected
1,197,0.4737,Undirected
1,317,0.2633,Undirected
1,337,0.4071,Undirected
1,356,0.349,Undirected
1,372,0.3904,Undirected
1,426,0.3863,Undirected
1,429,0.3399,Undirected
1,430,0.4399,Undirected
1,442,0.43,Undirected
1,449,0.2011,Undirected
1,452,0.5726,Undirected
1,455,0.2083,Undirected
1,457,0.2311,Undirected
1,462,0.507,Undirected
1,467,0.2751,Undirected
1,478,0.2108,Undirected
1,480,0.5567,Undirected
1,502,0.5359,Undirected
1,503,0.3087,Undirected
1,508,0.4477,Undirected
1,509,0.2494,Undirected
1,538,0.207,Undirected
1,540,0.5494,Undirected
1,541,0.2488,Undirected
1,542,0.6662,Undirected
1,543,0.2832,Undirected
1,545,0.6171,Undirected
1,583,0.3001,Undirected
1,585,0.222,Undirected
1,586,0.2084,Undirected
1,587,0.2395,Undirected
1,588,0.207,Undirected
1,589,0.2257,Undirected
1,612,0.7837,Undirected
1,613,0.2092,Undirected
1,615,0.2721,Undirected
1,624,0.4709,Undirected
1,627,0.3556,Undirected
1,628,0.244,Undirected
1,650,0.3958,Undirected
1,651,0.518,Undirected
1,656,0.3825,Undirected
1,661,0.4669,Undirected
1,665,0.4931,Undirected
1,666,0.3621,Undirected
1,687,0.4073,Undirected
1,699,0.5742,Undirected
1,702,0.2638,Undirected
1,713,0.2026,Undirected
1,716,0.4263,Undirected
1,717,0.3075,Undirected
1,721,0.2288,Undirected
1,774,0.5061,Undirected
1,786,0.2677,Undirected
1,791,0.2779,Undirected
2,3,0.2777,Undirected
2,4,0.6702,Undirected
2,5,0.3437,Undirected
2,6,0.2877,Undirected
2,7,0.4033,Undirected
2,8,0.3014,Undirected
2,9,0.2674,Undirected
2,12,0.3987,Undirected
2,25,0.2513,Undirected
2,35,0.6159,Undirected
2,42,0.3775,Undirected
2,49,0.4134,Undirected
2,52,0.2147,Undirected
2,58,0.2781,Undirected
2,61,0.2289,Undirected
2,67,0.325,Undirected
2,73,0.2677,Undirected
2,86,0.2071,Undirected
2,94,0.2264,Undirected
2,99,0.3053,Undirected
2,107,0.2496,Undirected
2,109,0.2597,Undirected
2,112,0.2591,Undirected
2,114,0.3524,Undirected
2,115,0.2868,Undirected
2,116,0.3059,Undirected
2,117,0.442,Undirected
2,119,0.3806,Undirected
2,128,0.4019,Undirected
2,130,0.2484,Undirected
2,132,0.2175,Undirected
2,134,0.4078,Undirected
2,135,0.2299,Undirected
2,156,0.2465,Undirected
2,168,0.2176,Undirected
2,169,0.3922,Undirected
2,170,0.2316,Undirected
2,172,0.5,Undirected
2,174,0.4273,Undirected
2,175,0.4463,Undirected
2,178,0.2348,Undirected
2,179,0.2602,Undirected
2,180,0.2075,Undirected
2,182,0.248,Undirected
2,185,0.287,Undirected
2,189,0.2039,Undirected
2,190,0.4106,Undirected
2,191,0.3292,Undirected
2,194,0.2024,Undirected
2,196,0.5194,Undirected
2,197,0.3846,Undirected
2,198,0.3063,Undirected
2,213,0.2375,Undirected
2,214,0.2669,Undirected
2,215,0.2461,Undirected
2,237,0.2536,Undirected
2,249,0.2001,Undirected
2,250,0.2351,Undirected
2,258,0.2785,Undirected
2,302,0.6478,Undirected
2,308,0.2755,Undirected
2,310,0.5726,Undirected
2,311,0.3256,Undirected
2,312,0.4596,Undirected
2,313,0.2931,Undirected
2,314,0.2934,Undirected
2,326,0.239,Undirected
2,327,0.2349,Undirected
2,347,0.2967,Undirected
2,348,0.2003,Undirected
2,357,0.2003,Undirected
2,358,0.2227,Undirected
2,365,0.2372,Undirected
2,372,0.234,Undirected
2,374,0.2268,Undirected
2,380,0.2052,Undirected
2,381,0.2058,Undirected
2,396,0.2129,Undirected
2,429,0.2634,Undirected
2,433,0.4216,Undirected
2,434,0.37,Undirected
2,435,0.4216,Undirected
2,441,0.2847,Undirected
2,442,0.3295,Undirected
2,445,0.2682,Undirected
2,446,0.3819,Undirected
2,454,0.3516,Undirected
2,455,0.3437,Undirected
2,456,0.2723,Undirected
2,457,0.3813,Undirected
2,458,0.305,Undirected
2,460,0.2261,Undirected
2,466,0.3455,Undirected
2,471,0.2995,Undirected
2,485,0.2766,Undirected
2,489,0.2348,Undirected
2,490,0.2164,Undirected
2,491,0.3223,Undirected
2,496,0.2288,Undirected
2,507,0.2216,Undirected
2,511,0.2049,Undirected
2,513,0.255,Undirected
2,538,0.2591,Undirected
2,564,0.2121,Undirected
2,580,0.253,Undirected
2,583,0.3756,Undirected
2,584,0.3756,Undirected
2,585,0.2779,Undirected
2,586,0.2609,Undirected
2,587,0.3024,Undirected
2,588,0.2666,Undirected
2,590,0.2226,Undirected
2,623,0.2354,Undirected
2,627,0.2119,Undirected
2,665,0.2836,Undirected
2,666,0.3131,Undirected
2,684,0.2717,Undirected
2,710,0.2129,Undirected
2,714,0.2999,Undirected
2,716,0.232,Undirected
2,717,0.2735,Undirected
2,720,0.3094,Undirected
2,728,0.2841,Undirected
2,731,0.2331,Undirected
2,732,0.2386,Undirected
2,741,0.2715,Undirected
2,747,0.2226,Undirected
2,749,0.2377,Undirected
2,755,0.2924,Undirected
2,765,0.2884,Undirected
2,780,0.2042,Undirected
3,4,0.2905,Undirected
3,7,0.3204,Undirected
3,8,0.218,Undirected
3,9,0.2306,Undirected
3,10,0.2301,Undirected
3,12,0.3194,Undirected
3,21,0.2014,Undirected
3,115,0.2022,Undirected
3,128,0.3282,Undirected
3,150,0.2272,Undirected
3,151,0.2212,Undirected
3,162,0.2185,Undirected
3,185,0.241,Undirected
3,257,0.2616,Undirected
3,302,0.2647,Undirected
3,310,0.2242,Undirected
3,311,0.2691,Undirected
3,312,0.3034,Undirected
3,313,0.2414,Undirected
3,314,0.2425,Undirected
3,325,0.2052,Undirected
3,347,0.2034,Undirected
3,355,0.221,Undirected
3,378,0.2046,Undirected
3,392,0.2545,Undirected
3,413,0.2439,Undirected
