Id,Label,Cluster
0,AADO CIRCULARCircular Tee: Trash inside,1
1,AADROS STRIPEST-Shirt Regular Fit made of Organic Cotton,1
2,AADRU Å ZICK ZACKT-shirt made from organic cotton,1
3,AADRUT-shirts from organic cotton,1
4,AADRU GMT DYE SPRAYT-shirt made from organic cotton,1
5,AADRU LS RUGBYLong sleeve made from organic cotton,1
6,AADRU LS RUGBY FLEECESweatshirts made from organic cotton,1
7,AADRU OUTSIDET-shirts from organic cotton,1
8,AADRU RETROMidweight Polo T-Shirt made of Organic Cotton,1
9,AADRU SWEAT GMT DYESweatshirt from organic cotton,1
10,AAGAPIOWoven Pants made of Organic Cotton Mix,2
11,AALBERTWoven trousers made from organic cotton,2
12,AALOX DEGRADÉT-Shirt Oversized Fit made of Organic Cotton Mix,1
13,AAMBROSIOKnit Shirt made of Organic Cotton,6
14,AANATOLCardigan made of Organic Wool Mix,6
15,AANTONCardigan made from an organic wool blend,3
16,AARJO TARPATapered Jeans recycled Cotton Mix Comfort Stretch,2
17,AARJO TARPA TAPERED JEANTapered Jeans recycled Cotton Mix Comfort Stretch,2
18,AARJO TARPATapered Jeans recycled cotton mix Comfort-Stretch,2
19,AARJO TARPATapered leg mid waist made from a recycled cotton blend,2
20,AARJO TARPATapered Jeans organic cotton hemp mix Comfort-Stretch,2
21,AARNAULTShirt Relaxed Fit made of Organic Cotton,7
22,AARTYOM GMT DYEPullover from organic cotton,6
23,AARVENKnit Shirt made of Organic Cotton,6
24,AARVODenim Shorts made of Organic Cotton Mix,2
25,AARVO DENIM SHORTDenim Shorts made of recycled Cotton,2
26,AARYStraight Jeans recycled Cotton Comfort Stretch,2
27,AARYStraight Jeans Organic Cotton Mix,2
28,AARYstraight Jeans recycled cotton,2
29,AARYStraight Jeans Organic Cotton Mix Comfort Stretch,2
30,AASHTON DENIM JACKETDenim Jacket made of recycled Cotton,2
31,AASKER BOXER SHORTSBoxer made of TENCEL™ Modal Mix,4
32,AASTER CHINO PANTChino Pants made of Organic Cotton Mix,2
33,AAUGUSTShorts made of TENCEL™ Lyocell,0
34,AAUSTINRelaxed Tapered Jeans organic cotton mix Comfort-Stretch,2
35,HEAVY WEIGHT TANK TOPHeavyweight Tanktop made of recycled Cotton Mix,1
36,AGAAMON KNIT JACKETCardigan from organic cotton,6
37,ALVAARIOPullover from organic cotton,6
38,ANAAR PREMIUMChino Pants made of Organic Cotton,2
39,ARAAMO FLANNEL SHIRTOrganic cotton shirt,7
40,ARAANIOWoven Pants made of Organic Cotton Mix,2
41,AVAANCorduroy overshirt made of Organic Cotton Mix,7
42,BAARO CHANGEMAKERSSweatshirts made from organic cotton,1
43,BAARO CHANGESSweatshirt from organic cotton,1
44,BAARO COMFORTSweatshirt made of recycled Cotton Mix,1
45,BAARO FLEECE SWEATSHIRTSweatshirt from organic cotton,1
46,BAARO LOOP SWEATSHIRTSweatshirt from organic cotton,1
47,BAARO SUNSweatshirt from organic cotton mix,1
48,BAASTI FLEECE SWEATPANTSweatpants from organic cotton,0
49,BAASTI LOOP SWEATPANTSweat Pants made of Organic Cotton,1
50,BEAATRICEBeanie made from a mohair-wool blend,3
51,BENJAARO CORDUROYSweatshirt Regular Fit made of Organic Cotton,1
52,BLAAKE DEMOCRACYT-Shirt made of Organic Cotton Mix,1
53,BOWLAASDenim Shirt made of Organic Cotton Mix,7
54,BRYANAASchal aus Mohair Woll Mix,3
55,BRYANAA TRIANGLE SCARFScarf made from a wool blend,3
56,CAARLO STRIPES SOCKSSocks made of Organic Cotton Mix,7
57,CAATEO DEMOCRACYSweathoodie from organic cotton,1
58,CHECK LONGSLEEVE SHIRTShirt made of Organic Cotton,7
59,CLAASASScarf made of Merino Wool,3
60,CONSTAAOvershirt made of Organic Cotton Mix,7
61,COTTON LINEN JACKETCOTTON LINEN JACKET | sandstone,2
62,COTTON LINEN PANTCOTTON LINEN PANT | sandstone,0
63,CROSSBODY TOTE BAGCROSSBODY TOTE BAG | black,5
64,DAAKOJumper made from an organic cotton blend,6
65,DAALOSShorts from organic cotton mix,2
66,DEAATABeanie made from a wool blend,3
67,DETOX ARTWORK HOODIESweatshirt made of Organic Cotton,1
68,DYLAANO STRAIGHT JEANStraight Jeans Organic Cotton Mix,2
69,DYLAANOSlim Straight Jeans recycled cotton,2
70,DYLAANO STRAIGHT JEANSlim Straight Jeans organic cotton mix Comfort-Stretch,2
