Id,Label,Cluster
0,AADO CIRCULARCircular Tee: Trash inside,3
1,AADROS STRIPEST-Shirt Regular Fit made of Organic Cotton,6
2,AADRU Å ZICK ZACKT-shirt made from organic cotton,3
3,AADRUT-shirts from organic cotton,3
4,AADRU GMT DYE SPRAYT-shirt made from organic cotton,3
5,AADRU LS RUGBYLong sleeve made from organic cotton,3
6,AADRU LS RUGBY FLEECESweatshirts made from organic cotton,3
7,AADRU OUTSIDET-shirts from organic cotton,3
8,AADRU RETROMidweight Polo T-Shirt made of Organic Cotton,3
9,AADRU SWEAT GMT DYESweatshirt from organic cotton,3
10,AAGAPIOWoven Pants made of Organic Cotton Mix,4
11,AALBERTWoven trousers made from organic cotton,4
12,AALOX DEGRADÉT-Shirt Oversized Fit made of Organic Cotton Mix,3
13,AAMBROSIOKnit Shirt made of Organic Cotton,1
14,AANATOLCardigan made of Organic Wool Mix,1
15,AANTONCardigan made from an organic wool blend,1
16,AARJO TARPATapered Jeans recycled Cotton Mix Comfort Stretch,4
17,AARJO TARPA TAPERED JEANTapered Jeans recycled Cotton Mix Comfort Stretch,4
18,AARJO TARPATapered Jeans recycled cotton mix Comfort-Stretch,4
19,AARJO TARPATapered leg mid waist made from a recycled cotton blend,4
20,AARJO TARPATapered Jeans organic cotton hemp mix Comfort-Stretch,4
21,AARNAULTShirt Relaxed Fit made of Organic Cotton,5
22,AARTYOM GMT DYEPullover from organic cotton,1
23,AARVENKnit Shirt made of Organic Cotton,1
24,AARVODenim Shorts made of Organic Cotton Mix,4
25,AARVO DENIM SHORTDenim Shorts made of recycled Cotton,4
26,AARYStraight Jeans recycled Cotton Comfort Stretch,4
27,AARYStraight Jeans Organic Cotton Mix,4
28,AARYstraight Jeans recycled cotton,4
29,AARYStraight Jeans Organic Cotton Mix Comfort Stretch,4
30,AASHTON DENIM JACKETDenim Jacket made of recycled Cotton,4
31,AASKER BOXER SHORTSBoxer made of TENCEL™ Modal Mix,2
32,AASTER CHINO PANTChino Pants made of Organic Cotton Mix,4
33,AAUGUSTShorts made of TENCEL™ Lyocell,2
34,AAUSTINRelaxed Tapered Jeans organic cotton mix Comfort-Stretch,4
35,HEAVY WEIGHT TANK TOPHeavyweight Tanktop made of recycled Cotton Mix,3
36,AGAAMON KNIT JACKETCardigan from organic cotton,1
37,ALVAARIOPullover from organic cotton,1
38,ANAAR PREMIUMChino Pants made of Organic Cotton,4
39,ARAAMO FLANNEL SHIRTOrganic cotton shirt,5
40,ARAANIOWoven Pants made of Organic Cotton Mix,4
41,AVAANCorduroy overshirt made of Organic Cotton Mix,5
42,BAARO CHANGEMAKERSSweatshirts made from organic cotton,3
43,BAARO CHANGESSweatshirt from organic cotton,3
44,BAARO COMFORTSweatshirt made of recycled Cotton Mix,3
45,BAARO FLEECE SWEATSHIRTSweatshirt from organic cotton,3
46,BAARO LOOP SWEATSHIRTSweatshirt from organic cotton,3
47,BAARO SUNSweatshirt from organic cotton mix,3
48,BAASTI FLEECE SWEATPANTSweatpants from organic cotton,2
49,BAASTI LOOP SWEATPANTSweat Pants made of Organic Cotton,3
50,BEAATRICEBeanie made from a mohair-wool blend,1
51,BENJAARO CORDUROYSweatshirt Regular Fit made of Organic Cotton,2
52,BLAAKE DEMOCRACYT-Shirt made of Organic Cotton Mix,3
53,BOWLAASDenim Shirt made of Organic Cotton Mix,5
54,BRYANAASchal aus Mohair Woll Mix,1
55,BRYANAA TRIANGLE SCARFScarf made from a wool blend,1
56,CAARLO STRIPES SOCKSSocks made of Organic Cotton Mix,1
57,CAATEO DEMOCRACYSweathoodie from organic cotton,3
58,CHECK LONGSLEEVE SHIRTShirt made of Organic Cotton,5
59,CLAASASScarf made of Merino Wool,1
60,CONSTAAOvershirt made of Organic Cotton Mix,5
61,COTTON LINEN JACKETCOTTON LINEN JACKET | sandstone,1
62,COTTON LINEN PANTCOTTON LINEN PANT | sandstone,2
63,CROSSBODY TOTE BAGCROSSBODY TOTE BAG | black,0
64,DAAKOJumper made from an organic cotton blend,1
