Source,Target,Weight,Type
0,1,1.0,Undirected
0,18,0.638,Undirected
0,19,0.638,Undirected
0,20,0.5802,Undirected
0,21,0.5802,Undirected
0,49,0.5602,Undirected
0,50,0.5602,Undirected
0,68,0.412,Undirected
0,69,0.412,Undirected
0,70,0.412,Undirected
0,139,0.8268,Undirected
0,140,0.8268,Undirected
0,141,0.8268,Undirected
0,142,0.8268,Undirected
0,145,0.2191,Undirected
0,146,0.2191,Undirected
0,147,0.2191,Undirected
0,205,0.8056,Undirected
0,206,0.8056,Undirected
0,207,0.8056,Undirected
0,239,0.5341,Undirected
0,240,0.5341,Undirected
0,282,0.5831,Undirected
0,283,0.5831,Undirected
0,289,0.2635,Undirected
0,290,0.2635,Undirected
0,291,0.3417,Undirected
0,292,0.3417,Undirected
0,293,0.3417,Undirected
0,301,0.4315,Undirected
0,322,0.7555,Undirected
0,323,0.7555,Undirected
0,324,0.7555,Undirected
0,333,0.8036,Undirected
0,334,0.8036,Undirected
0,365,0.3091,Undirected
0,366,0.3084,Undirected
0,367,0.3091,Undirected
0,368,0.3091,Undirected
0,369,0.3091,Undirected
0,370,0.3091,Undirected
0,378,0.3588,Undirected
0,379,0.3588,Undirected
0,380,0.3588,Undirected
0,381,0.3588,Undirected
0,382,0.3588,Undirected
0,383,0.3588,Undirected
0,384,0.3588,Undirected
0,385,0.3588,Undirected
0,386,0.3588,Undirected
0,400,0.2053,Undirected
0,403,0.2053,Undirected
0,471,0.2633,Undirected
0,472,0.2633,Undirected
0,473,0.2633,Undirected
0,497,0.8268,Undirected
0,498,0.8268,Undirected
0,499,0.8268,Undirected
0,500,0.8268,Undirected
0,503,0.2191,Undirected
0,504,0.2191,Undirected
0,505,0.2191,Undirected
0,506,0.2191,Undirected
0,532,0.8004,Undirected
0,533,0.8004,Undirected
0,534,0.8004,Undirected
0,535,0.8004,Undirected
0,581,0.3818,Undirected
0,582,0.3818,Undirected
0,583,0.3818,Undirected
0,590,0.8056,Undirected
0,623,0.4275,Undirected
0,624,0.4275,Undirected
0,643,0.4611,Undirected
0,644,0.4611,Undirected
0,645,0.4611,Undirected
0,646,0.4611,Undirected
0,692,0.7555,Undirected
0,712,0.6973,Undirected
