Id,Label,Cluster
0,"White
                      
                        Actalf
                      
                        Now
                      
                        Trainers",0
1,"Black
                      
                        Actalf
                      
                        Now
                      
                        Trainers",0
2,"Green
                      
                        Agadir
                      
                        Hoodie",6
3,"Black
                      
                        Agadir
                      
                        Hoodie",10
4,"Navy
                      
                        Blue
                      
                        Agadir
                      
                        Hoodie",6
5,"Grey
                      
                        Agadir
                      
                        Sweatshirt",4
6,"Green
                      
                        Alesio
                      
                        Sweater",1
7,"Blue
                      
                        Alesio
                      
                        Sweater",1
8,"Light
                      
                        Grey
                      
                        Alesio
                      
                        Sweater",1
9,"Blue
                      
                        Alfredo
                      
                        Shirt",2
10,"White
                      
                        Alfredo
                      
                        Shirt",2
11,"Navy
                      
                        Blue
                      
                        Alfredo
                      
                        Shirt",4
12,"Navy
                      
                        Blue
                      
                        And
                      
                        White
                      
                        Alfredo
                      
                        Shirt",4
13,"Green
                      
                        Almer
                      
                        T-shirt",2
14,"Light
                      
                        Grey
                      
                        Almer
                      
                        T-shirt",2
15,"Navy
                      
                        Blue
                      
                        Almera
                      
                        T-shirt",2
16,"Green
                      
                        Almera
                      
                        T-shirt",2
17,"White
                      
                        Almer
                      
                        T-shirt",4
18,"Long
                      
                        Green
                      
                        Ancua
                      
                        Jacket",0
19,"Long
                      
                        Dark
                      
                        Grey
                      
                        Ancua
                      
                        Jacket",0
20,"Dark
                      
                        Grey
                      
                        Ancua
                      
                        Short
                      
                        Jacket",0
21,"Short
                      
                        Green
                      
                        Ancua
                      
                        Jacket",0
22,"White
                      
                        Andro
                      
                        T-shirt",2
23,"Dark
                      
                        Grey
                      
                        Antejo
                      
                        Shirt",2
24,"Green
                      
                        Antejo
                      
                        Shirt",2
25,"Navy
                      
                        Blue
                      
                        Antejo
                      
                        Shirt",2
26,"Blue
                      
                        Antejo
                      
                        Shirt",2
27,"White
                      
                        Antejo
                      
                        Shirt",2
28,"Beige
                      
                        Antejo
                      
                        Shirt",4
29,"Blue
                      
                        Antonio
                      
                        Shirt",2
30,"White
                      
                        Smooth
                      
                        Antonio
                      
                        Shirt",2
31,"White
                      
                        Maroon
                      
                        Striped
                      
                        Antonio
                      
                        Shirt",2
32,"White
                      
                        Red
                      
                        Striped
                      
                        Antonio
                      
                        Shirt",2
33,"White
                      
                        Navy
                      
                        Blue
                      
                        Striped
                      
                        Antonio
                      
                        Shirt",2
34,"Navy
                      
                        Blue
                      
                        Antonio
                      
                        Shirt",4
35,"Light
                      
                        Blue
                      
                        Antonio
                      
                        Shirt",4
36,"Green
                      
                        Arles
                      
                        Hoodie",6
37,"Navy
                      
                        Blue
                      
                        Arles
                      
                        Hoodie",6
38,"Black
                      
                        Arles
                      
                        Sweatshirt",4
39,"Grey
                      
                        Arles
                      
                        Sweatshirt",4
40,"Dark
                      
                        Grey
                      
                        Aspenalf
                      
                        Jacket",10
41,"Green
                      
                        Aspenalf
                      
                        Jacket",10
42,"Dark
                      
                        Green
                      
                        Aspenalf
                      
                        Jacket",10
43,"Black
                      
                        Aspenalf
                      
                        Jacket",4
44,"Blue
                      
                        Aspenalf
                      
                        Jacket",10
45,"Red
                      
                        Aspenalf
                      
                        Jacket",10
46,"Navy
                      
                        Blue
                      
                        Aspenalf
                      
                        Jacket",4
47,"Beige
                      
                        Aspenalf
                      
                        Jacket",10
48,"Black
                      
                        Soft
                      
                        Aspenalf
                      
                        Jacket",10
49,"Dark
                      
                        Green
                      
                        Aspo
                      
                        Jacket",0
50,"Black
                      
                        Aspo
                      
                        Jacket",0
51,"Green
                      
                        Atlas
                      
                        Jacket",2
52,"Mustard
                      
                        Atlas
                      
                        Jacket",2
53,"Dark
                      
                        Grey
                      
                        Bale
                      
                        Jacket",10
54,"Navy
                      
                        Blue
                      
                        Bale
                      
                        Jacket",10
55,"Dark
                      
                        Grey
                      
                        Bardera
                      
                        Hoodie",2
56,"Light
                      
                        Grey
                      
                        Bardera
                      
                        Hoodie",2
57,"Blue
                      
                        Bardera
                      
                        Hoodie",2
58,"Beige
                      
                        Barder
                      
                        Sweatshirt",4
59,"Blue
                      
                        Barder
                      
                        Sweatshirt",4
60,"Green
                      
                        Basa
                      
                        Jacket",10
61,"Black
                      
                        Basa
                      
                        Jacket",10
62,"Green
                      
                        Bayona
                      
                        Sweater",1
63,"Black
                      
                        Bayona
                      
                        Sweater",1
