Id,Label,Cluster
0,"White
                      
                        Actalf
                      
                        Now
                      
                        Trainers",8
1,"Black
                      
                        Actalf
                      
                        Now
                      
                        Trainers",8
2,"Green
                      
                        Agadir
                      
                        Hoodie",1
3,"Black
                      
                        Agadir
                      
                        Hoodie",9
4,"Navy
                      
                        Blue
                      
                        Agadir
                      
                        Hoodie",1
5,"Grey
                      
                        Agadir
                      
                        Sweatshirt",5
6,"Green
                      
                        Alesio
                      
                        Sweater",7
7,"Blue
                      
                        Alesio
                      
                        Sweater",7
8,"Light
                      
                        Grey
                      
                        Alesio
                      
                        Sweater",7
9,"Blue
                      
                        Alfredo
                      
                        Shirt",6
10,"White
                      
                        Alfredo
                      
                        Shirt",6
11,"Navy
                      
                        Blue
                      
                        Alfredo
                      
                        Shirt",5
12,"Navy
                      
                        Blue
                      
                        And
                      
                        White
                      
                        Alfredo
                      
                        Shirt",5
13,"Green
                      
                        Almer
                      
                        T-shirt",3
14,"Light
                      
                        Grey
                      
                        Almer
                      
                        T-shirt",3
15,"Navy
                      
                        Blue
                      
                        Almera
                      
                        T-shirt",3
16,"Green
                      
                        Almera
                      
                        T-shirt",3
17,"White
                      
                        Almer
                      
                        T-shirt",3
18,"Long
                      
                        Green
                      
                        Ancua
                      
                        Jacket",8
19,"Long
                      
                        Dark
                      
                        Grey
                      
                        Ancua
                      
                        Jacket",8
20,"Dark
                      
                        Grey
                      
                        Ancua
                      
                        Short
                      
                        Jacket",8
21,"Short
                      
                        Green
                      
                        Ancua
                      
                        Jacket",8
22,"White
                      
                        Andro
                      
                        T-shirt",6
23,"Dark
                      
                        Grey
                      
                        Antejo
                      
                        Shirt",6
24,"Green
                      
                        Antejo
                      
                        Shirt",6
25,"Navy
                      
                        Blue
                      
                        Antejo
                      
                        Shirt",6
26,"Blue
                      
                        Antejo
                      
                        Shirt",6
27,"White
                      
                        Antejo
                      
                        Shirt",6
28,"Beige
                      
                        Antejo
                      
                        Shirt",5
29,"Blue
                      
                        Antonio
                      
                        Shirt",6
30,"White
                      
                        Smooth
                      
                        Antonio
                      
                        Shirt",6
31,"White
                      
                        Maroon
                      
                        Striped
                      
                        Antonio
                      
                        Shirt",6
32,"White
                      
                        Red
                      
                        Striped
                      
                        Antonio
                      
                        Shirt",6
33,"White
                      
                        Navy
                      
                        Blue
                      
                        Striped
                      
                        Antonio
                      
                        Shirt",6
34,"Navy
                      
                        Blue
                      
                        Antonio
                      
                        Shirt",5
35,"Light
                      
                        Blue
                      
                        Antonio
                      
                        Shirt",5
36,"Green
                      
                        Arles
                      
                        Hoodie",1
37,"Navy
                      
                        Blue
                      
                        Arles
                      
                        Hoodie",1
38,"Black
                      
                        Arles
                      
                        Sweatshirt",5
39,"Grey
                      
                        Arles
                      
                        Sweatshirt",5
