Source,Target,Weight,Type
0,14,0.8099637754629984,Undirected
0,17,0.22184967893092047,Undirected
0,18,0.2467356346852371,Undirected
0,19,0.22695798871262648,Undirected
0,33,0.5832709546757782,Undirected
0,34,0.7906594461195867,Undirected
0,50,0.7846017915562958,Undirected
0,52,0.2240352068943495,Undirected
0,64,0.310837963106638,Undirected
0,69,0.32326109061482633,Undirected
0,83,0.2909303721205949,Undirected
0,84,0.28878818545574714,Undirected
0,87,0.2728848868868113,Undirected
0,89,0.26276520462605674,Undirected
0,90,0.22838889271527474,Undirected
0,108,0.24975514095513737,Undirected
0,112,0.274240966149114,Undirected
0,150,0.26117999867797903,Undirected
0,151,0.28174344857541805,Undirected
0,157,0.2506981707162449,Undirected
0,162,0.2530194772354332,Undirected
0,164,0.29389775397878026,Undirected
0,167,0.2078816318749623,Undirected
0,168,0.23809372235913445,Undirected
0,202,0.31305760327557824,Undirected
0,262,0.22740142247801756,Undirected
0,273,0.2621302066283422,Undirected
0,284,0.26282326137833995,Undirected
0,305,0.2635456936678335,Undirected
0,340,0.8540904918009121,Undirected
0,341,0.24901363782115024,Undirected
0,368,0.7733215955989452,Undirected
0,380,0.7774631341980899,Undirected
1,10,0.9187838439731113,Undirected
1,11,0.48164011796376704,Undirected
1,15,0.5959377000707298,Undirected
1,25,0.43509362427241366,Undirected
1,26,0.4118733174186434,Undirected
1,35,0.784042441794183,Undirected
1,36,0.5892093604103362,Undirected
1,44,0.7136755925392146,Undirected
1,160,0.22268231132586863,Undirected
1,336,0.7369962101787593,Undirected
1,337,0.6658235219897336,Undirected
1,338,0.7291291789935125,Undirected
1,339,0.7997395090443462,Undirected
1,364,0.21239656041806448,Undirected
1,365,0.80177133749241,Undirected
1,371,0.32010109502354045,Undirected
1,375,0.6932493529668456,Undirected
1,378,0.5133141328535479,Undirected
1,379,0.3995766496186074,Undirected
1,383,0.24614283304947182,Undirected
1,384,0.3317980363820563,Undirected
2,3,0.4676170453347802,Undirected
2,7,0.26635981286577054,Undirected
2,8,0.30051692814389347,Undirected
2,9,0.3774599377185175,Undirected
2,22,0.3025640842832905,Undirected
2,23,0.3908801369590842,Undirected
2,24,0.3862011766195372,Undirected
