Source,Target,Weight,Type
0,14,0.8874,Undirected
0,33,0.6355,Undirected
0,34,0.8847,Undirected
0,50,0.8795,Undirected
0,64,0.1635,Undirected
0,83,0.1604,Undirected
0,87,0.1662,Undirected
0,112,0.1777,Undirected
0,151,0.1508,Undirected
0,202,0.1571,Undirected
0,340,0.9547,Undirected
0,368,0.8607,Undirected
0,380,0.8452,Undirected
1,10,0.8546,Undirected
1,11,0.1789,Undirected
1,15,0.343,Undirected
1,26,0.162,Undirected
1,35,0.5701,Undirected
1,36,0.4364,Undirected
1,44,0.4485,Undirected
1,336,0.4846,Undirected
1,337,0.3763,Undirected
1,338,0.5286,Undirected
1,339,0.5836,Undirected
1,365,0.6017,Undirected
1,375,0.5251,Undirected
1,378,0.3014,Undirected
1,379,0.2354,Undirected
1,384,0.1735,Undirected
1,396,0.3452,Undirected
1,397,0.5073,Undirected
2,3,0.4173,Undirected
2,7,0.193,Undirected
2,8,0.2114,Undirected
2,23,0.2766,Undirected
2,24,0.2383,Undirected
2,28,0.1695,Undirected
2,30,0.1579,Undirected
2,31,0.156,Undirected
2,45,0.1515,Undirected
2,46,0.1979,Undirected
2,47,0.2663,Undirected
2,48,0.1929,Undirected
2,343,0.2225,Undirected
2,357,0.3727,Undirected
2,358,0.3739,Undirected
2,367,0.2074,Undirected
2,377,0.2531,Undirected
2,394,0.2689,Undirected
2,395,0.2457,Undirected
3,7,0.2043,Undirected
3,8,0.2166,Undirected
3,24,0.2119,Undirected
3,28,0.1616,Undirected
3,29,0.1598,Undirected
3,30,0.1537,Undirected
3,31,0.1674,Undirected
3,46,0.179,Undirected
3,47,0.198,Undirected
3,48,0.1704,Undirected
3,343,0.1972,Undirected
3,357,0.8374,Undirected
3,358,0.8402,Undirected
3,367,0.1667,Undirected
3,377,0.2854,Undirected
3,394,0.2025,Undirected
3,395,0.206,Undirected
4,79,0.2148,Undirected
4,80,0.1845,Undirected
4,81,0.1759,Undirected
4,82,0.1656,Undirected
4,225,0.1628,Undirected
4,226,0.171,Undirected
4,227,0.167,Undirected
4,228,0.1904,Undirected
4,229,0.1912,Undirected
4,385,0.1752,Undirected
4,433,0.1967,Undirected
4,434,0.2008,Undirected
4,435,0.1656,Undirected
4,558,0.1627,Undirected
4,559,0.171,Undirected
4,560,0.1664,Undirected
4,561,0.1904,Undirected
4,562,0.1912,Undirected
