Source,Target,Weight,Type
0,14,0.8876,Undirected
0,33,0.6603,Undirected
0,34,0.8897,Undirected
0,50,0.9033,Undirected
0,112,0.1082,Undirected
0,340,0.9695,Undirected
0,368,0.8614,Undirected
0,380,0.8377,Undirected
1,10,0.7557,Undirected
1,11,0.1658,Undirected
1,15,0.3176,Undirected
1,25,0.1012,Undirected
1,26,0.1614,Undirected
1,35,0.5889,Undirected
1,36,0.4402,Undirected
1,43,0.1069,Undirected
1,44,0.3906,Undirected
1,336,0.4607,Undirected
1,337,0.4304,Undirected
1,338,0.6389,Undirected
1,339,0.6042,Undirected
1,364,0.119,Undirected
1,365,0.623,Undirected
1,375,0.5389,Undirected
1,376,0.1208,Undirected
1,378,0.248,Undirected
1,379,0.2315,Undirected
1,384,0.2782,Undirected
1,396,0.3989,Undirected
1,397,0.6332,Undirected
2,3,0.4504,Undirected
2,7,0.119,Undirected
2,8,0.1375,Undirected
2,9,0.139,Undirected
2,23,0.2427,Undirected
2,24,0.1542,Undirected
2,28,0.1228,Undirected
2,29,0.1357,Undirected
2,30,0.1168,Undirected
2,31,0.1105,Undirected
2,45,0.1411,Undirected
2,47,0.1911,Undirected
2,343,0.1035,Undirected
2,357,0.4361,Undirected
2,358,0.4362,Undirected
2,361,0.183,Undirected
2,366,0.1112,Undirected
2,367,0.2909,Undirected
2,377,0.256,Undirected
2,382,0.102,Undirected
2,392,0.135,Undirected
2,393,0.1305,Undirected
2,394,0.2762,Undirected
2,395,0.2539,Undirected
3,23,0.1543,Undirected
3,28,0.1079,Undirected
3,29,0.1109,Undirected
3,30,0.1152,Undirected
3,31,0.109,Undirected
3,45,0.102,Undirected
3,47,0.123,Undirected
3,357,0.8799,Undirected
3,358,0.8802,Undirected
3,361,0.108,Undirected
3,367,0.1801,Undirected
3,377,0.3008,Undirected
3,394,0.1862,Undirected
3,395,0.1757,Undirected
4,79,0.325,Undirected
4,80,0.2568,Undirected
4,81,0.26,Undirected
4,82,0.2487,Undirected
4,225,0.1767,Undirected
4,226,0.182,Undirected
4,227,0.1817,Undirected
4,228,0.227,Undirected
4,229,0.3976,Undirected
4,385,0.2575,Undirected
4,433,0.291,Undirected
4,434,0.2722,Undirected
4,435,0.2487,Undirected
4,558,0.1752,Undirected
4,559,0.182,Undirected
4,560,0.1802,Undirected
4,561,0.227,Undirected
4,562,0.3976,Undirected
4,602,0.1118,Undirected
4,606,0.1178,Undirected
5,12,0.2273,Undirected
5,27,0.5408,Undirected
5,32,0.6979,Undirected
5,43,0.2186,Undirected
5,330,0.1192,Undirected
5,341,0.6071,Undirected
5,342,0.3248,Undirected
5,344,0.4967,Undirected
5,346,0.1378,Undirected
5,363,0.2367,Undirected
5,364,0.1049,Undirected
5,376,0.2465,Undirected
5,384,0.1333,Undirected
6,65,0.7058,Undirected
6,66,0.7195,Undirected
6,67,0.7053,Undirected
6,68,0.6467,Undirected
6,259,0.3137,Undirected
6,413,0.6989,Undirected
6,414,0.6931,Undirected
6,415,0.7203,Undirected
7,8,0.9531,Undirected
7,9,0.8696,Undirected
7,23,0.1445,Undirected
7,28,0.1363,Undirected
7,367,0.3433,Undirected
7,377,0.1013,Undirected
7,394,0.1798,Undirected
7,395,0.2341,Undirected
8,9,0.8434,Undirected
8,23,0.1402,Undirected
8,28,0.1102,Undirected
8,367,0.333,Undirected
8,394,0.1744,Undirected
8,395,0.227,Undirected
9,23,0.1687,Undirected
9,28,0.1117,Undirected
9,367,0.3761,Undirected
9,394,0.1391,Undirected
9,395,0.1599,Undirected
10,15,0.4403,Undirected
10,35,0.5672,Undirected
10,36,0.3867,Undirected
10,43,0.1035,Undirected
10,44,0.4532,Undirected
10,336,0.4748,Undirected
10,337,0.5659,Undirected
10,338,0.4357,Undirected
10,339,0.5631,Undirected
10,365,0.539,Undirected
10,375,0.4561,Undirected
10,376,0.1167,Undirected
10,378,0.2057,Undirected
10,379,0.2153,Undirected
10,384,0.2246,Undirected
10,396,0.586,Undirected
10,397,0.406,Undirected
11,25,0.4525,Undirected
11,26,0.7371,Undirected
11,35,0.1889,Undirected
11,36,0.2643,Undirected
11,60,0.1109,Undirected
11,61,0.2365,Undirected
11,62,0.2332,Undirected
11,85,0.117,Undirected
11,86,0.1305,Undirected
11,103,0.1431,Undirected
11,104,0.1509,Undirected
11,137,0.2355,Undirected
11,138,0.2391,Undirected
11,142,0.1059,Undirected
11,149,0.1038,Undirected
11,160,0.1649,Undirected
11,259,0.1377,Undirected
11,281,0.1155,Undirected
11,282,0.1651,Undirected
11,283,0.1179,Undirected
11,314,0.2587,Undirected
11,315,0.2224,Undirected
11,338,0.2822,Undirected
11,339,0.1875,Undirected
11,364,0.3762,Undirected
11,365,0.1717,Undirected
11,371,0.1409,Undirected
11,375,0.2002,Undirected
11,378,0.1024,Undirected
11,383,0.2985,Undirected
11,397,0.2716,Undirected
11,411,0.2715,Undirected
11,412,0.2542,Undirected
11,459,0.132,Undirected
11,460,0.1348,Undirected
11,461,0.1385,Undirected
11,533,0.2193,Undirected
11,534,0.1035,Undirected
11,574,0.1014,Undirected
11,591,0.1131,Undirected
11,592,0.1131,Undirected
11,593,0.2415,Undirected
11,612,0.128,Undirected
11,613,0.1071,Undirected
11,614,0.1262,Undirected
11,639,0.2694,Undirected
12,32,0.4608,Undirected
12,43,0.1352,Undirected
12,251,0.1651,Undirected
12,252,0.1564,Undirected
12,253,0.155,Undirected
12,254,0.5119,Undirected
12,341,0.3439,Undirected
12,344,0.123,Undirected
12,356,0.3987,Undirected
12,363,0.1465,Undirected
12,376,0.1528,Undirected
12,575,0.4677,Undirected
12,576,0.4341,Undirected
12,577,0.5052,Undirected
13,76,0.4567,Undirected
13,77,0.4041,Undirected
13,78,0.4058,Undirected
13,374,0.114,Undirected
13,430,0.4526,Undirected
13,431,0.4041,Undirected
13,432,0.4085,Undirected
14,33,0.7068,Undirected
14,34,0.9199,Undirected
14,50,0.8109,Undirected
14,112,0.146,Undirected
14,340,0.9015,Undirected
14,368,0.9705,Undirected
14,380,0.9199,Undirected
15,28,0.1153,Undirected
15,35,0.2954,Undirected
15,36,0.4985,Undirected
15,44,0.6965,Undirected
15,88,0.1265,Undirected
15,336,0.5834,Undirected
15,337,0.6001,Undirected
15,338,0.3477,Undirected
15,339,0.2932,Undirected
15,365,0.2814,Undirected
15,375,0.3305,Undirected
15,378,0.2433,Undirected
15,379,0.2532,Undirected
15,384,0.2093,Undirected
15,396,0.7045,Undirected
15,397,0.3283,Undirected
16,21,0.1533,Undirected
16,103,0.3777,Undirected
16,104,0.4201,Undirected
16,140,0.2946,Undirected
16,141,0.3573,Undirected
16,147,0.1463,Undirected
16,148,0.2431,Undirected
16,259,0.3363,Undirected
16,260,0.391,Undirected
16,269,0.225,Undirected
16,296,0.366,Undirected
16,335,0.303,Undirected
16,356,0.1672,Undirected
16,391,0.1902,Undirected
16,440,0.3687,Undirected
16,441,0.1595,Undirected
16,442,0.5525,Undirected
16,459,0.3603,Undirected
16,460,0.3678,Undirected
16,461,0.4155,Undirected
16,470,0.1099,Undirected
16,484,0.3579,Undirected
16,485,0.3662,Undirected
16,574,0.3818,Undirected
16,589,0.455,Undirected
16,590,0.4365,Undirected
16,591,0.3748,Undirected
16,592,0.3748,Undirected
16,599,0.2203,Undirected
16,627,0.3897,Undirected
17,18,0.9264,Undirected
17,89,0.6483,Undirected
17,206,0.206,Undirected
17,207,0.2117,Undirected
17,208,0.1934,Undirected
17,272,0.5116,Undirected
17,311,0.3441,Undirected
17,312,0.3441,Undirected
17,313,0.3808,Undirected
17,420,0.476,Undirected
17,421,0.4674,Undirected
17,445,0.3865,Undirected
17,541,0.1648,Undirected
17,542,0.1427,Undirected
17,543,0.2692,Undirected
17,544,0.1369,Undirected
17,578,0.7557,Undirected
17,579,0.8144,Undirected
18,89,0.6475,Undirected
18,206,0.191,Undirected
18,207,0.1955,Undirected
18,208,0.1786,Undirected
18,272,0.4999,Undirected
18,311,0.3363,Undirected
18,312,0.3363,Undirected
18,313,0.3721,Undirected
18,420,0.4681,Undirected
18,421,0.4591,Undirected
18,445,0.3724,Undirected
18,541,0.1729,Undirected
18,542,0.1497,Undirected
18,543,0.2486,Undirected
18,544,0.1436,Undirected
18,578,0.7863,Undirected
18,579,0.8098,Undirected
19,90,1.0,Undirected
19,146,0.9379,Undirected
19,163,0.1061,Undirected
19,442,0.2667,Undirected
19,465,0.1176,Undirected
19,501,0.5272,Undirected
19,640,0.1936,Undirected
20,21,0.7915,Undirected
20,91,0.6024,Undirected
20,92,0.371,Undirected
20,177,0.2274,Undirected
20,178,0.2293,Undirected
20,391,0.3054,Undirected
20,446,0.6024,Undirected
20,447,0.7813,Undirected
20,517,0.224,Undirected
20,518,0.2298,Undirected
21,91,0.5945,Undirected
21,92,0.4094,Undirected
21,177,0.1733,Undirected
21,178,0.1748,Undirected
21,335,0.1991,Undirected
21,356,0.1654,Undirected
21,391,0.4218,Undirected
21,446,0.5945,Undirected
21,447,0.8662,Undirected
21,517,0.1705,Undirected
21,518,0.1752,Undirected
22,23,0.1749,Undirected
22,28,0.226,Undirected
22,29,0.1146,Undirected
22,30,0.1417,Undirected
22,31,0.158,Undirected
22,45,0.166,Undirected
22,343,0.4772,Undirected
22,361,0.1386,Undirected
22,362,0.5434,Undirected
22,377,0.1974,Undirected
22,392,0.3623,Undirected
22,393,0.3644,Undirected
22,395,0.1138,Undirected
23,24,0.2083,Undirected
23,28,0.2096,Undirected
23,29,0.1639,Undirected
23,30,0.1703,Undirected
23,31,0.1611,Undirected
23,45,0.2868,Undirected
23,46,0.1797,Undirected
23,47,0.203,Undirected
23,48,0.1811,Undirected
23,343,0.12,Undirected
23,357,0.1239,Undirected
23,358,0.1239,Undirected
23,361,0.2552,Undirected
23,367,0.1198,Undirected
23,377,0.2152,Undirected
23,382,0.2494,Undirected
23,392,0.2249,Undirected
23,393,0.2228,Undirected
23,394,0.5153,Undirected
23,395,0.5432,Undirected
23,591,0.1099,Undirected
23,592,0.1099,Undirected
24,29,0.1129,Undirected
24,30,0.1173,Undirected
24,31,0.1109,Undirected
24,45,0.5701,Undirected
24,46,0.8389,Undirected
24,47,0.6481,Undirected
24,48,0.8329,Undirected
24,343,0.1253,Undirected
24,357,0.1015,Undirected
24,358,0.1016,Undirected
24,367,0.1699,Undirected
24,377,0.1738,Undirected
24,394,0.158,Undirected
24,395,0.171,Undirected
25,26,0.6577,Undirected
25,35,0.1026,Undirected
25,36,0.2012,Undirected
25,60,0.2045,Undirected
25,61,0.3655,Undirected
25,62,0.3605,Undirected
25,65,0.1097,Undirected
25,68,0.1098,Undirected
25,85,0.1827,Undirected
25,86,0.19,Undirected
25,100,0.1614,Undirected
25,101,0.1593,Undirected
25,102,0.1632,Undirected
25,103,0.2349,Undirected
25,104,0.2528,Undirected
25,105,0.1595,Undirected
25,106,0.1569,Undirected
25,113,0.1155,Undirected
25,114,0.1291,Undirected
25,137,0.356,Undirected
25,138,0.3343,Undirected
25,142,0.2205,Undirected
25,149,0.1414,Undirected
25,160,0.2482,Undirected
25,177,0.1384,Undirected
25,178,0.1396,Undirected
25,184,0.1048,Undirected
25,200,0.1605,Undirected
25,201,0.1409,Undirected
