Source,Target,Weight,Type
0,14,0.7873,Undirected
0,18,0.2115,Undirected
0,33,0.5201,Undirected
0,34,0.7548,Undirected
0,50,0.727,Undirected
0,64,0.277,Undirected
0,69,0.2944,Undirected
0,83,0.2564,Undirected
0,84,0.2608,Undirected
0,87,0.2415,Undirected
0,89,0.2294,Undirected
0,108,0.2126,Undirected
0,112,0.2412,Undirected
0,150,0.2299,Undirected
0,151,0.2458,Undirected
0,157,0.2248,Undirected
0,162,0.224,Undirected
0,164,0.2683,Undirected
0,167,0.2129,Undirected
0,168,0.2016,Undirected
0,202,0.2886,Undirected
0,262,0.2545,Undirected
0,273,0.2227,Undirected
0,284,0.233,Undirected
0,305,0.2399,Undirected
0,340,0.8474,Undirected
0,368,0.7279,Undirected
0,380,0.7464,Undirected
0,398,0.3255,Undirected
0,399,0.297,Undirected
0,500,0.2441,Undirected
0,535,0.2824,Undirected
0,631,0.2259,Undirected
1,10,0.9183,Undirected
1,11,0.511,Undirected
1,15,0.5822,Undirected
1,25,0.4533,Undirected
1,26,0.4463,Undirected
1,35,0.7407,Undirected
1,36,0.6106,Undirected
1,44,0.7159,Undirected
1,336,0.7348,Undirected
1,337,0.6464,Undirected
1,338,0.7063,Undirected
1,339,0.7541,Undirected
1,364,0.2198,Undirected
1,365,0.7562,Undirected
1,371,0.339,Undirected
1,375,0.6285,Undirected
1,378,0.5617,Undirected
1,379,0.428,Undirected
1,383,0.239,Undirected
1,384,0.366,Undirected
1,396,0.6139,Undirected
1,397,0.6118,Undirected
2,3,0.352,Undirected
2,7,0.2125,Undirected
2,8,0.2594,Undirected
2,9,0.306,Undirected
2,22,0.2753,Undirected
2,23,0.3499,Undirected
2,24,0.3466,Undirected
2,28,0.3065,Undirected
2,29,0.2421,Undirected
2,30,0.283,Undirected
2,31,0.2752,Undirected
2,45,0.3633,Undirected
2,46,0.3094,Undirected
2,47,0.3138,Undirected
2,48,0.3578,Undirected
2,343,0.4315,Undirected
2,357,0.4087,Undirected
2,358,0.3847,Undirected
2,362,0.2703,Undirected
2,367,0.3637,Undirected
2,377,0.3296,Undirected
2,392,0.248,Undirected
2,393,0.2704,Undirected
2,394,0.3212,Undirected
2,395,0.2715,Undirected
3,7,0.2549,Undirected
3,8,0.2953,Undirected
3,9,0.2042,Undirected
3,22,0.2122,Undirected
3,23,0.209,Undirected
3,24,0.2465,Undirected
3,28,0.2491,Undirected
3,29,0.381,Undirected
3,30,0.365,Undirected
3,31,0.3775,Undirected
3,45,0.2186,Undirected
3,46,0.2215,Undirected
3,47,0.257,Undirected
3,48,0.2366,Undirected
3,343,0.2123,Undirected
3,357,0.7542,Undirected
3,358,0.7098,Undirected
3,362,0.2304,Undirected
3,367,0.2603,Undirected
3,377,0.3719,Undirected
3,392,0.2268,Undirected
3,393,0.2439,Undirected
3,394,0.2288,Undirected
3,395,0.2342,Undirected
4,27,0.2329,Undirected
4,72,0.2201,Undirected
4,73,0.2147,Undirected
4,79,0.2772,Undirected
4,80,0.2707,Undirected
4,81,0.3012,Undirected
4,82,0.2912,Undirected
4,152,0.2361,Undirected
4,153,0.2346,Undirected
4,154,0.2322,Undirected
4,225,0.2395,Undirected
4,226,0.2755,Undirected
4,227,0.2426,Undirected
4,228,0.2759,Undirected
4,229,0.2214,Undirected
4,344,0.239,Undirected
