Id,Label,Cluster,Category
0,'73 Skyline Uprisal Hoody,2,FeaturedFeatured > Shop by CategoryShop by Category > Sweatshirts & HoodiesSweatshirts & Hoodies > '73 Skyline Uprisal Hoody
1,Airfarer Cap,3,FeaturedFeatured > Shop by CategoryShop by Category > Hats & AccessoriesHats & Accessories > Airfarer Cap
2,Atom Sling Bag 8L,0,PacksPacks > Packs & GearBags & Luggage > Atom Sling Bag 8L
3,Atom Tote Pack 20L,0,PacksPacks > Packs & GearBags & Luggage > BackpacksBackpacks > Atom Tote Pack 20L
4,Balaclava,1,FeaturedFeatured > Shop by CategoryShop by Category > Hats & AccessoriesHats & Accessories > Balaclava
5,Beanie Hat,1,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Beanie Hat
6,Better Sweater™ Fleece Gloves,1,FeaturedFeatured > Shop by CategoryShop by Category > Hats & AccessoriesHats & Accessories > Better Sweater™ Fleece Gloves
7,Black Hole® Pack 25L,0,PacksPacks > Packs & GearBags & Luggage > BackpacksBackpacks > Black Hole® Pack 25L
8,Black Hole® Pack 32L,0,PacksPacks > Packs & GearBags & Luggage > BackpacksBackpacks > Black Hole® Pack 32L
9,Black Hole® Waist Pack 5L,0,PacksPacks > Black Hole® BagsBlack Hole® Bags > Black Hole® Waist Pack 5L
10,Boardshort Label Funfarer Cap,3,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Boardshort Label Funfarer Cap
11,Broadcaster Hat,3,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Broadcaster Hat
12,Brodeo Beanie,1,Women'sWomen's > Shop by CategoryShop by Category > Hats & AccessoriesWomen's Hats & Accessories > HatsHats > BeaniesBeanies > Brodeo Beanie
13,Capilene® Midweight Liner Gloves,1,Women'sWomen's > Shop by CategoryShop by Category > Hats & AccessoriesWomen's Hats & Accessories > Gloves & MittensGloves & Mittens > Capilene® Midweight Liner Gloves
14,Chouinard® Crest Uprisal Hoody,2,Men'sMen's > Shop by CategoryShop by Category > TopsTops > Sweatshirts & HoodiesMen's Sweatshirts & Hoodies > Chouinard® Crest Uprisal Hoody
15,Corduroy Cap,3,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Corduroy Cap
16,Cotton Down Jacket,1,FeaturedFeatured > Shop by CategoryShop by Category > Jackets & VestsJackets & Vests > Cotton Down Jacket
17,Daily Crewneck Sweatshirt,1,FeaturedFeatured > Shop by CategoryShop by Category > Sweatshirts & HoodiesSweatshirts & Hoodies > Daily Crewneck Sweatshirt
18,Daily Hoody Sweatshirt,1,FeaturedFeatured > Shop by CategoryShop by Category > Sweatshirts & HoodiesSweatshirts & Hoodies > Daily Hoody Sweatshirt
19,Daily Tee,2,Men'sMen's > Shop by CategoryShop by Category > TopsTops > Short SleeveShort Sleeve > Daily Tee
20,DAS® Light Pants,0,Men'sMen's > Shop by CategoryShop by Category > BottomsBottoms > Snow & Alpine PantsMen's Snow & Alpine Pants > DAS® Light Pants
21,DAS® Light Shorts,0,SportsSports > SnowSnow > Men'sMen's Snow > Backcountry TouringMen's Backcountry Touring > DAS® Light Shorts
22,Descensionist Snow Pack 37L,0,PacksPacks > Packs & GearBags & Luggage > Technical PacksTechnical Packs > Descensionist Snow Pack 37L
23,Dirt Roamer Bike Waist Pack 3L,0,PacksPacks > Packs & GearBags & Luggage > Technical PacksTechnical Packs > Dirt Roamer Bike Waist Pack 3L
24,Disperser Roll-Top Pack 40L,0,PacksPacks > Packs & GearBags & Luggage > Technical PacksTechnical Packs > Disperser Roll-Top Pack 40L
25,Duckbill Cap,3,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Duckbill Cap
26,Duckbill Running Trucker Hat,3,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Duckbill Running Trucker Hat
27,Everyday Beanie,1,FeaturedFeatured > Shop by CategoryShop by Category > Hats & AccessoriesHats & Accessories > Everyday Beanie
28,Fieldsmith Hip Pack 5L,1,PacksPacks > Packs & GearBags & Luggage > Fieldsmith Hip Pack 5L
29,Fieldsmith Lid Pack 28L,1,PacksPacks > Packs & GearBags & Luggage > BackpacksBackpacks > Everyday PacksEveryday Backpacks > Fieldsmith Lid Pack 28L
30,Fieldsmith Linked Backpack 24L,1,PacksPacks > Packs & GearBags & Luggage > BackpacksBackpacks > Everyday PacksEveryday Backpacks > Fieldsmith Linked Backpack 24L
31,Fieldsmith Roll-Top Pack 32L,1,PacksPacks > Packs & GearBags & Luggage > BackpacksBackpacks > Everyday PacksEveryday Backpacks > Fieldsmith Roll-Top Pack 32L
32,Fisherman's Rolled Beanie,1,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Fisherman's Rolled Beanie
