Id,Label,Cluster
0,'73 Skyline Uprisal Hoody,3
1,Airfarer Cap,4
2,Atom Sling Bag 8L,5
3,Atom Tote Pack 20L,5
4,Balaclava,5
5,Beanie Hat,5
6,Better Sweater™ Fleece Gloves,5
7,Black Hole® Pack 25L,5
8,Black Hole® Pack 32L,5
9,Black Hole® Waist Pack 5L,5
10,Boardshort Label Funfarer Cap,4
11,Broadcaster Hat,2
12,Brodeo Beanie,5
13,Capilene® Midweight Liner Gloves,5
14,Chouinard® Crest Uprisal Hoody,3
15,Corduroy Cap,4
16,Cotton Down Jacket,2
17,Daily Crewneck Sweatshirt,4
18,Daily Hoody Sweatshirt,4
19,Daily Tee,4
20,DAS® Light Pants,6
21,DAS® Light Shorts,6
22,Descensionist Snow Pack 37L,5
23,Dirt Roamer Bike Waist Pack 3L,5
24,Disperser Roll-Top Pack 40L,5
25,Duckbill Cap,2
26,Duckbill Running Trucker Hat,2
27,Everyday Beanie,5
28,Fieldsmith Hip Pack 5L,4
29,Fieldsmith Lid Pack 28L,4
30,Fieldsmith Linked Backpack 24L,4
31,Fieldsmith Roll-Top Pack 32L,4
32,Fisherman's Rolled Beanie,5
33,Fitz Roy Icon Uprisal Crewneck Sweatshirt,3
34,Fitz Roy Icon Uprisal Hoody,3
35,Fitz Roy Trout Trucker Hat,4
36,Fly Catcher Hat,4
37,Foot Tractor Aluminum Bar Replacement Kit - Danner®,5
38,Foot Tractor Wading Boots - Aluminum Bar Sole,5
39,Foot Tractor Wading Boots - Felt Sole,5
40,Foot Tractor Wading Boots - Sticky Rubber Sole,5
41,Forra Wading Boots - Grip Studs™ Traction Kit,5
42,Forra Wading Boots,5
43,Friction Belt,5
44,Graphic Maclure Hat,4
45,Great Divider Boat Bag 26L,5
46,Guidewater Backpack 29L,5
47,Guidewater Hip Pack 9L,5
48,Guidewater Sling Pack 15L,5
49,Heavyweight Merino Wool-Blend Knee Socks,6
50,Home Water Trout Uprisal Hoody,3
51,Homepool Mitt Fishing Gloves,1
52,Men's '73 Skyline Organic T-Shirt,3
53,Men's Airshed Pro Pullover,5
54,Men's All Seasons Work Vest,4
55,Men's Alpine Guide Pants - Regular,0
56,Men's Alpine Guide Pants - Short,0
57,Men's Terravia Alpine Pants - Regular,5
58,Men's Terravia Trail Pants - Regular,5
59,Men's Terravia Trail Pants - Short,5
60,"Men's Baggies™ Lights - 6""",2
61,"Men's Baggies™ Longs - 7""",2
62,"Men's Baggies™ Shorts - 5""",2
63,Men's Balance Organic Shirt,3
64,Men's Berm Logo Responsibili-Tee®,3
65,Men's Better Sweater™ Fleece Crewneck,5
66,Men's Better Sweater™ Fleece Jacket,5
67,Men's Better Sweater™ Fleece Vest,5
68,Men's Better Sweater™ 1/2-Zip Fleece Pullover,5
69,Men's Boardshort Logo Pocket Responsibili-Tee®,3
70,Men's Boulder Fork Rain Jacket,0
71,Men's Canyonite Flannel Shirt,5
72,Men's Capilene® Cool Daily Graphic Shirt - Lands,2
73,Men's Capilene® Cool Daily Graphic Shirt - Waters,2
74,Men's Capilene® Cool Merino Blend Graphic Shirt,6
75,Men's Capilene® Cool Merino Blend Shirt,6
76,Men's Capilene® Midweight Bottoms,4
77,Men's Capilene® Midweight Crewneck,4
78,Men's Capilene® Midweight Zip-Neck Pullover,4
79,Men's Capilene® Thermal Weight Boot-Length Bottoms,5
80,Men's Capilene® Thermal Weight Bottoms,5
81,Men's Capilene® Thermal Weight Crewneck,5
82,Men's Capilene® Thermal Weight Zip-Neck Pullover,5
83,Men's Casting Logo Responsibili-Tee®,3
84,Men's Chouinard® Crest Pocket Responsibili-Tee®,3
85,Men's Classic Retro-X® Fleece Jacket,2
86,Men's Classic Retro-X® Fleece Vest,2
87,Men's Clean Climb Roots Responsibili-Tee®,3
88,Men's Corduroy Shirt,4
89,Men's Daily Snap-T® Pullover,4
90,Men's Daily Tee,4
91,Men's DAS® Light Hoody,6
92,Men's DAS® Parka,6
93,Men's Dirt Craft Bike Pants,5
94,"Men's Dirt Craft Bike Shorts - 12½""",5
95,Men's Dirt Roamer Liner Bike Bibs,2
96,Men's Dirt Roamer Bike Liner Shorts,5
97,"Men's Dirt Roamer Bike Shorts - 12½""",5
98,Men's Dirt Roamer Storm Bike Jacket,0
99,Men's Dirt Roamer Storm Bike Pants,0
100,Men's Down Sweater™ Hoody,6
101,Men's Down Sweater™ Jacket,6
102,Men's Down Sweater™ Vest,6
103,Men's Downdrift Jacket,2
104,Men's Downdrift Vest,2
105,"Men's Endless Run Shorts - 6""",2
106,Men's Endless Run Tights,2
107,Men's Fitz Roy Down Hoody,6
108,Men's Fitz Roy Icon Responsibili-Tee®,3
109,Men's Fjord Flannel Shirt,4
110,Men's Fjord Loft Shirt,4
111,Men's Pile-Lined Fjord Loft Shirt Jacket,4
112,Men’s Flying Fish Responsibili-Tee®,3
113,Men's Granite Crest Rain Jacket,2
114,Men's Granite Crest Rain Pants,2
115,Men's Hi-Loft Nano Puff® Hoody,6
116,Men's Home Water Trout Organic T-Shirt,3
117,"Men's Home Waters Volley Shorts - 16""",4
118,Men's Houdini Jacket,6
119,"Men's Hydrolock Boardshorts 2.0 - 19""",5
