Id,Label,Cluster
0,'73 Skyline Uprisal Hoody,4
1,Airfarer Cap,1
2,Atom Sling Bag 8L,5
3,Atom Tote Pack 20L,5
4,Balaclava,2
5,Beanie Hat,5
6,Better Sweater™ Fleece Gloves,6
7,Black Hole® Pack 25L,5
8,Black Hole® Pack 32L,5
9,Black Hole® Waist Pack 5L,5
10,Boardshort Label Funfarer Cap,1
11,Broadcaster Hat,1
12,Brodeo Beanie,5
13,Capilene® Midweight Liner Gloves,2
14,Chouinard® Crest Uprisal Hoody,4
15,Corduroy Cap,1
16,Cotton Down Jacket,6
17,Daily Crewneck Sweatshirt,1
18,Daily Hoody Sweatshirt,1
19,Daily Tee,1
20,DAS® Light Pants,5
21,DAS® Light Shorts,5
22,Descensionist Snow Pack 37L,5
23,Dirt Roamer Bike Waist Pack 3L,5
24,Disperser Roll-Top Pack 40L,5
25,Duckbill Cap,6
26,Duckbill Running Trucker Hat,1
27,Everyday Beanie,5
28,Fieldsmith Hip Pack 5L,1
29,Fieldsmith Lid Pack 28L,1
30,Fieldsmith Linked Backpack 24L,1
31,Fieldsmith Roll-Top Pack 32L,1
32,Fisherman's Rolled Beanie,5
33,Fitz Roy Icon Uprisal Crewneck Sweatshirt,4
34,Fitz Roy Icon Uprisal Hoody,4
35,Fitz Roy Trout Trucker Hat,1
36,Fly Catcher Hat,1
37,Foot Tractor Aluminum Bar Replacement Kit - Danner®,5
38,Foot Tractor Wading Boots - Aluminum Bar Sole,5
39,Foot Tractor Wading Boots - Felt Sole,5
40,Foot Tractor Wading Boots - Sticky Rubber Sole,5
41,Forra Wading Boots - Grip Studs™ Traction Kit,5
42,Forra Wading Boots,5
43,Friction Belt,5
44,Graphic Maclure Hat,1
45,Great Divider Boat Bag 26L,5
46,Guidewater Backpack 29L,5
47,Guidewater Hip Pack 9L,5
48,Guidewater Sling Pack 15L,5
49,Heavyweight Merino Wool-Blend Knee Socks,6
50,Home Water Trout Uprisal Hoody,4
51,Homepool Mitt Fishing Gloves,3
52,Men's '73 Skyline Organic T-Shirt,4
53,Men's Airshed Pro Pullover,5
54,Men's All Seasons Work Vest,1
55,Men's Alpine Guide Pants - Regular,5
56,Men's Alpine Guide Pants - Short,5
57,Men's Terravia Alpine Pants - Regular,5
58,Men's Terravia Trail Pants - Regular,5
59,Men's Terravia Trail Pants - Short,5
60,"Men's Baggies™ Lights - 6""",6
61,"Men's Baggies™ Longs - 7""",6
